Title,Year,Authors,GatesAuthors
Light-weight process groups in the Isis system.,1993,"Bradford B. Glade, Kenneth P. Birman, Robert C. B. Cooper, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Logical attestation - an authorization architecture for trustworthy computing.,2011,"Emin G神n Sirer, Willem de Bruijn, Patrick Reynolds, Alan Shieh, Kevin Walsh, Dan Williams, Fred B. Schneider, ","Emin Gun Sirer, Fred Schneider"
Maelstrom - transparent error correction for communication between data centers.,2011,"Mahesh Balakrishnan, Tudor Marian, Kenneth P. Birman, Hakim Weatherspoon, Lakshmi Ganesh, ","Hakim Weatherspoon, Ken Birman"
Maelstrom - Transparent Error Correction for Lambda Networks.,2008,"Mahesh Balakrishnan, Tudor Marian, Ken Birman, Hakim Weatherspoon, Einar Vollset, ","Hakim Weatherspoon, Ken Birman"
Making Things Visible - Opportunities and Tensions in Visual Approaches for Design Research and Practice.,2014,"Jaime Snyder, Eric P. S. Baumer, Stephen Voida, Phil Adams, Megan K. Halpern, Tanzeem Choudhury, Geri Gay, ","Geri Gay, Tanzeem Choudhury"
Making time-stepped applications tick in the cloud.,2011,"Tao Zou, Guozhang Wang, Marcos Antonio Vaz Salles, David Bindel, Alan J. Demers, Johannes Gehrke, Walker M. White, ","Alan Demers, David Bindel, Walker White"
Managing the network with Merlin.,2013,"Robert Soul姓, Shrutarshi Basu, Robert Kleinberg, Emin G神n Sirer, Nate Foster, ","Emin Gun Sirer, Nate Foster, Robert Kleinberg"
Mapping Subsets of Scholarly Information,2003,"Paul Ginsparg, Paul Houle, Thorsten Joachims, Jae-Hoon Sul, ","Paul Ginsparg, Thorsten Joachims"
Massively multi-query join processing in publish/subscribe systems.,2007,"Mingsheng Hong, Alan J. Demers, Johannes Gehrke, Christoph Koch 0001, Mirek Riedewald, Walker M. White, ","Alan Demers, Walker White"
Matching Real Fabrics with Micro-Appearance Models.,2015,"Pramook Khungurn, Daniel Schroeder, Shuang Zhao, Kavita Bala, Steve Marschner, ","Kavita Bala, Steve Marschner"
Merlin - A Language for Provisioning Network Resources.,2014,"Robert Soul姓, Shrutarshi Basu, Parisa Jalili Marandi, Fernando Pedone, Robert Kleinberg, Emin G神n Sirer, Nate Foster, ","Emin Gun Sirer, Nate Foster, Robert Kleinberg"
MiCA - A Compositional Architecture for Gossip Protocols.,2014,"Lonnie Princehouse, Rakesh Chenchu, Zhefu Jiang, Kenneth P. Birman, Nate Foster, Robert Soul姓, ","Ken Birman, Nate Foster"
Mindless computing - designing technologies to subtly influence behavior.,2015,"Alexander Travis Adams, Jean Marcel dos Reis Costa, Malte F. Jung, Tanzeem Choudhury, ","Malte Jung, Tanzeem Choudhury"
Mining collective local knowledge from Google MyMaps.,2011,"Shaomei Wu, Shenwei Liu, Dan Cosley, Michael W. Macy, ","Dan Cosley, Michael Macy"
MISTRAL -  - efficient flooding in mobile ad-hoc networks.,2006,"Stefan Pleisch, Mahesh Balakrishnan, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Mobile manifestations of alertness - connecting biological rhythms with patterns of smartphone app use.,2016,"Elizabeth L. Murnane, Saeed Abdullah, Mark Matthews, Matthew Kay, Julie A. Kientz, Tanzeem Choudhury, Geri Gay, Dan Cosley, ","Dan Cosley, Geri Gay, Tanzeem Choudhury"
MoodRhythm - tracking and supporting daily rhythms.,2013,"Stephen Voida, Mark Matthews, Saeed Abdullah, Mengxi (Chrissie) Xi, Matthew Green 0003, Won Jun Jang, Donald Hu, John Weinrich, Prashama Patil, Mashfiqui Rabbi, Tauhidur Rahman, Geri Gay, Ellen Frank, Tanzeem Choudhury, ","Geri Gay, Tanzeem Choudhury"
"Navigating in the Storm - Using Astrolabe for Distributed Self-Configuration, Monitoring and Adaptation.",2003,"Kenneth P. Birman, Robbert van Renesse, James Kaufman, Werner Vogels, ","Ken Birman, Robbert van Renesse"
Navigating in the Storm - Using Astrolabe to Adaptively Configure Web Services and Their Clients.,2006,"Kenneth P. Birman, Robbert van Renesse, Werner Vogels, ","Ken Birman, Robbert van Renesse"
Nerio - Leader Election and Edict Ordering,2011,"Robbert van Renesse, Fred B. Schneider, Johannes Gehrke, ","Fred Schneider, Robbert van Renesse"
NetkAT - semantic foundations for networks.,2014,"Carolyn Jane Anderson, Nate Foster, Arjun Guha, Jean-Baptiste Jeannin, Dexter Kozen, Cole Schlesinger, David Walker, ","Dexter Kozen, Nate Foster"
NetQuery - a knowledge plane for reasoning about network properties.,2011,"Alan Shieh, Emin G神n Sirer, Fred B. Schneider, ","Emin Gun Sirer, Fred Schneider"
Network Formation in the Presence of Contagious Risk.,2013,"Lawrence E. Blume, David A. Easley, Jon M. Kleinberg, Robert Kleinberg, 神va Tardos, ","David Easley, Jon Kleinberg, Robert Kleinberg"
Network formation in the presence of contagious risk.,2011,"Larry Blume, David A. Easley, Jon M. Kleinberg, Robert D. Kleinberg, 神va Tardos, ","David Easley, Jon Kleinberg, Larry Blume, Robert Kleinberg"
"Networks, Crowds, and Markets - Reasoning About a Highly Connected World.",2010,"David A. Easley, Jon M. Kleinberg, ","David Easley, Jon Kleinberg"
New Applications for Group Computing.,1994,"Robbert van Renesse, Kenneth P. Birman, Thorsten von Eicken, Keith Marzullo, ","Ken Birman, Robbert van Renesse, Thorsten Joachims"
Nexus authorization logic (NAL) - Design rationale and applications.,2011,"Fred B. Schneider, Kevin Walsh, Emin G神n Sirer, ","Emin Gun Sirer, Fred Schneider"
Nominal Automata with Name Binding.,2016,"Lutz Schr神der, Dexter Kozen, Stefan Milius, Thorsten Wi錘mann, ","Dexter Kozen, Thorsten Joachims"
